ID,FORENAME,SURNAME,GENDER,YEAR
0,Robin,Viklund,male,1965
1,Marie,Henriksson,female,1962
2,Ann-Christin,Karlsson,female,1988
3,Per,Mattsson,male,2010
4,Annika,Ström,female,1950
5,Camilla,Berggren,female,1951
6,Claes,Pettersson,male,1984
7,Camilla,Eklund,female,1986
8,Caroline,Blom,female,2018
9,Leif,Jonasson,male,1972
10,Klara,Jakobsson,female,1952
11,Marie,Åkesson,female,1986
12,Martin,Ek,male,1950
13,Erika,Lindqvist,female,1961
14,Gustav,Andersson,male,2001
15,Pontus,Bergman,male,1951
16,Josef,Larsson,male,2000
17,Isabelle,Lundberg,female,1991
18,Britt-Marie,Jansson,female,2005
19,Maja,Bergman,female,2003
20,Jörgen,Gustafsson,male,1950
21,Britt-Marie,Johansson,female,1964
22,Mikael,Blom,male,1976
23,Leif,Larsson,male,1955
24,Ingrid,Pålsson,female,2017
25,Ann-Marie,Olsson,female,1982
26,Albin,Wallin,male,1998
27,Olivia,Söderberg,female,2009
28,Robert,Dahl,male,2016
29,Rolf,Berggren,male,2007
30,Claes,Holmgren,male,2015
31,Edvin,Ek,male,2007
32,Ida,Hermansson,female,2009
33,Edvin,Sundberg,male,1958
34,Peter,Andersson,male,1991
35,Felix,Karlsson,male,1953
36,Gun,Bergström,female,2002
37,Hans,Sjöberg,male,1982
38,Mohamed,Bergqvist,male,1974
39,Björn,Eriksson,male,2007
40,Isak,Mårtensson,male,1983
41,Berit,Falk,female,1976
42,Ulf,Gustafsson,male,2014
43,Joakim,Bergman,male,1977
44,Bengt,Fransson,male,2003
45,Eva,Persson,female,2011
46,Alexander,Andreasson,male,1960
47,Dennis,Löfgren,male,1966
48,Christoffer,Månsson,male,1972
49,Joakim,Karlsson,male,1952
50,Samuel,Nordström,male,1989
51,Johan,Eklund,male,2012
52,Edvin,Lindqvist,male,1955
53,Rebecca,Mårtensson,female,1958
54,Anette,Pettersson,female,2002
55,Johan,Öberg,male,1954
56,Charlotte,Mattsson,female,1953
57,Eva,Mattsson,female,1981
58,Kevin,Holmberg,male,2017
59,Hans,Åberg,male,1991
60,Cecilia,Berggren,female,2020
61,Cecilia,Holmberg,female,2016
62,Stefan,Björk,male,1968
63,Stefan,Dahl,male,1991
64,Mattias,Björklund,male,2004
65,Viktoria,Lundberg,female,2015
66,Olof,Lundin,male,1953
67,Bo,Strömberg,male,1999
68,Olle,Karlsson,male,1966
69,Rickard,Axelsson,male,1986
70,Siv,Bergström,female,1999
71,Alice,Bergman,female,1956
72,John,Wallin,male,1995
73,Bengt,Wikström,male,1983
74,Ingrid,Sandberg,female,1956
75,Elias,Bergman,male,2014
76,Dan,Nordström,male,1973
77,Ida,Mohamed,female,2008
78,Kenneth,Mattsson,male,1979
79,Elin,Bergström,female,2001
80,Rasmus,Mårtensson,male,2005
81,Olle,Dahlberg,male,1967
82,Anna,Ström,female,1998
83,Barbro,Bergqvist,female,2014
84,Andreas,Håkansson,male,1993
85,William,Gustafsson,male,1957
86,Peter,Pålsson,male,1953
87,Jenny,Hermansson,female,2008
88,Ida,Jonasson,female,1979
89,Felicia,Isaksson,female,2015
90,Robert,Andreasson,male,1996
91,Ella,Hassan,female,1984
92,Magnus,Wallin,male,2004
93,Linn,Ström,female,2007
94,Henrik,Wikström,male,2001
95,Edvin,Mattsson,male,1995
96,Felix,Hansen,male,1952
97,William,Sandberg,male,2008
98,Nina,Strömberg,female,1951
99,Elsa,Fredriksson,female,1970
100,Leo,Håkansson,male,1973
101,Ludvig,Magnusson,male,1979
102,Mats,Jonasson,male,1986
103,Katarina,Ekström,female,2003
104,Samuel,Larsson,male,1987
105,Jan,Wallin,male,2015
106,Andreas,Bergström,male,2000
107,Sandra,Holm,female,1952
108,Moa,Lind,female,1958
109,Ebba,Andersson,female,1988
110,Barbro,Abrahamsson,female,1989
111,Pernilla,Nordin,female,1973
112,Lovisa,Lindström,female,2004
113,Ella,Sundberg,female,1991
114,Rut,Wallin,female,1968
115,Lisa,Magnusson,female,2016
116,Henrik,Hassan,male,1987
117,Nils,Abrahamsson,male,1974
118,Karin,Falk,female,2003
119,Göran,Bengtsson,male,1999
120,Marcus,Sandström,male,2008
121,Lovisa,Samuelsson,female,1958
122,Lisbeth,Gunnarsson,female,1996
123,Filip,Nyberg,male,1985
124,Louise,Olofsson,female,1970
125,Mattias,Hermansson,male,1963
126,Frida,Johansson,female,1961
127,Britt,Arvidsson,female,1994
128,Ann,Eliasson,female,1972
129,Fredrik,Norberg,male,1979
130,Ebba,Lund,female,1982
131,Marcus,Lundberg,male,1994
132,Björn,Lindqvist,male,2018
133,Ida,Claesson,female,1963
134,Liam,Lindholm,male,1974
135,Rolf,Åkesson,male,1982
136,Wilma,Björk,female,2009
137,Jessica,Samuelsson,female,1985
138,Bengt,Björklund,male,2010
139,Carina,Löfgren,female,1999
140,Leif,Bergström,male,2003
141,Frida,Samuelsson,female,2014
142,Fredrik,Jansson,male,1989
143,Kjell,Sandström,male,1993
144,Pia,Ek,female,1963
145,Kristina,Sjögren,female,1966
146,Hans,Wallin,male,1961
147,Emelie,Engström,female,2010
148,Marianne,Sandström,female,1973
149,Josef,Hansson,male,1995
150,Marcus,Jonasson,male,1954
151,Louise,Berglund,female,1955
152,Ann-Christin,Dahlberg,female,2004
153,Felicia,Strömberg,female,2007
154,Yvonne,Håkansson,female,1953
155,Gunilla,Falk,female,1964
156,Ulf,Norberg,male,1974
157,Sebastian,Björklund,male,1999
158,Sonja,Löfgren,female,1972
159,Astrid,Holmberg,female,2010
160,Christer,Danielsson,male,2011
161,Ludvig,Ali,male,1974
162,Linda,Isaksson,female,1992
163,Jonathan,Persson,male,2006
164,Susanne,Berglund,female,1986
165,Nils,Lundström,male,1999
166,Sonja,Hassan,female,1987
167,Andreas,Blomqvist,male,2013
168,Robert,Jonasson,male,1977
169,Astrid,Karlsson,female,1989
170,Birgit,Lundin,female,1985
171,Linus,Wallin,male,1978
172,Kent,Axelsson,male,1966
173,Linn,Hassan,female,1996
174,Viktoria,Månsson,female,1965
175,Katarina,Blom,female,1984
176,Lennart,Pålsson,male,2006
177,Göran,Holm,male,1993
178,Jan,Lindström,male,1979
179,Johanna,Viklund,female,2014
180,Elsa,Gunnarsson,female,2013
181,Christian,Samuelsson,male,1994
182,Sofie,Lundin,female,1979
183,Birgitta,Sjöberg,female,1983
184,Albin,Abrahamsson,male,1994
185,Christoffer,Arvidsson,male,2013
186,Carina,Falk,female,1964
187,Rasmus,Lundqvist,male,1977
188,Per,Engström,male,1964
189,Anneli,Johansson,female,1965
190,Alexander,Abrahamsson,male,1980
191,Lovisa,Berglund,female,2009
192,Isak,Forsberg,male,1958
193,Sofie,Blom,female,1964
194,Jonas,Nyberg,male,1958
195,Martin,Håkansson,male,1984
196,Marianne,Lindberg,female,1957
197,Ann,Pettersson,female,1967
198,Maja,Björk,female,1968
199,Louise,Martinsson,female,1951
200,Charlotte,Berg,female,1967
201,Emil,Sandberg,male,1976
202,Emil,Jonasson,male,1995
203,Camilla,Abrahamsson,female,1971
204,Rickard,Lundgren,male,1982
205,Filip,Engström,male,1982
206,Ulrika,Pålsson,female,1997
207,Lennart,Nyberg,male,1965
208,Olle,Fransson,male,2009
209,Göran,Lindqvist,male,2009
210,Berit,Sundberg,female,1964
211,Birgit,Svensson,female,1966
212,Kristina,Nordström,female,1978
213,Jörgen,Eriksson,male,2015
214,Sandra,Olofsson,female,1983
215,Marie,Jönsson,female,1980
216,Annika,Lindholm,female,2001
217,Dan,Hansson,male,1969
218,Emilia,Johansson,female,1959
219,Marianne,Pålsson,female,1986
220,Isak,Ekström,male,1980
221,Madeleine,Lindgren,female,1986
222,Oskar,Bergman,male,1976
223,Moa,Norberg,female,1978
224,Jakob,Lind,male,1963
225,William,Mohamed,male,1978
226,Fredrik,Viklund,male,1994
227,Felicia,Nordström,female,1994
228,Karl,Samuelsson,male,2012
229,Anita,Bergqvist,female,2016
230,Lovisa,Dahlberg,female,2005
231,Anita,Lindholm,female,1956
232,Ellen,Larsson,female,1994
233,Nina,Hansen,female,1994
234,Amanda,Martinsson,female,1961
235,Kenneth,Sjöberg,male,1959
236,Sebastian,Holmgren,male,1966
